owner_repo,clone_url,status,duration_sec,notes
fkie-cad/awesome-embedded-and-iot-security,https://github.com/fkie-cad/awesome-embedded-and-iot-security.git,already_cloned,0,skipped_stripped
ftiannisa/write-up,https://github.com/ftiannisa/write-up.git,already_cloned,0,skipped_stripped
Gallopsled/pwntools,https://github.com/Gallopsled/pwntools.git,already_cloned,0,skipped_stripped
gijsh/rhme2_writeups,https://github.com/gijsh/rhme2_writeups.git,already_cloned,0,skipped_stripped
hackthebox/business-ctf-2025,https://github.com/hackthebox/business-ctf-2025.git,already_cloned,0,skipped_stripped
hackthebox/cyber-apocalypse-2025,https://github.com/hackthebox/cyber-apocalypse-2025.git,already_cloned,0,skipped_stripped
hagronnestad/ctf-htb-cyber-apocalypse-2024,https://github.com/hagronnestad/ctf-htb-cyber-apocalypse-2024.git,already_cloned,0,skipped_stripped
HerculesRD/Pwn.College,https://github.com/HerculesRD/Pwn.College.git,already_cloned,0,skipped_stripped
hugsy/gef,https://github.com/hugsy/gef.git,already_cloned,0,skipped_stripped
iash8090/Hack-The-Box,https://github.com/iash8090/Hack-The-Box.git,already_cloned,0,skipped_stripped
iamABH/awesome-hardware-ctf,https://github.com/iamABH/awesome-hardware-ctf.git,already_cloned,0,skipped_stripped
Irench1k/PicoCTF,https://github.com/Irench1k/PicoCTF.git,already_cloned,0,skipped_stripped
j00ru/ctf-tasks,https://github.com/j00ru/ctf-tasks.git,already_cloned,0,skipped_stripped
JohnHammond/ctf-katana,https://github.com/JohnHammond/ctf-katana.git,already_cloned,0,skipped_stripped
JohnHammond/katana,https://github.com/JohnHammond/katana.git,already_cloned,0,skipped_stripped
JohnHammond/miscellaneous,https://github.com/JohnHammond/miscellaneous.git,already_cloned,0,skipped_stripped
JonathanSalwan/ROPgadget,https://github.com/JonathanSalwan/ROPgadget.git,already_cloned,0,skipped_stripped
JohnHammond/misfortune-ctf-challenge,https://github.com/JohnHammond/misfortune-ctf-challenge.git,already_cloned,0,skipped_stripped
juliancasaburi/irisctf-2025,https://github.com/juliancasaburi/irisctf-2025.git,already_cloned,0,skipped_stripped
justcatthefish/ctf-writeups,https://github.com/justcatthefish/ctf-writeups.git,already_cloned,0,skipped_stripped
justcatthefish/justctf-2024,https://github.com/justcatthefish/justctf-2024.git,already_cloned,0,skipped_stripped
justcatthefish/justctf-2025,https://github.com/justcatthefish/justctf-2025.git,already_cloned,0,skipped_stripped
kayranfatih/awesome-iot-and-hardware-security,https://github.com/kayranfatih/awesome-iot-and-hardware-security.git,already_cloned,0,skipped_stripped
kyndrawynne/pwnscripts,https://github.com/kyndrawynne/pwnscripts.git,already_cloned,0,skipped_stripped
LazyTitan33/CTF-Writeups,https://github.com/LazyTitan33/CTF-Writeups.git,already_cloned,0,skipped_stripped
Live-CTF/LiveCTF-DEFCON32,https://github.com/Live-CTF/LiveCTF-DEFCON32.git,already_cloned,0,skipped_stripped
LiveOverflow/ctf-cryptowaf,https://github.com/LiveOverflow/ctf-cryptowaf.git,already_cloned,0,skipped_stripped
LiveOverflow/ctf-screenshotter,https://github.com/LiveOverflow/ctf-screenshotter.git,already_cloned,0,skipped_stripped
LiveOverflow/pwn_docker_example,https://github.com/LiveOverflow/pwn_docker_example.git,already_cloned,0,skipped_stripped
m3ssap0/CTF-Writeups,https://github.com/m3ssap0/CTF-Writeups.git,already_cloned,0,skipped_stripped
MacacaHub/CTF-writeups,https://github.com/MacacaHub/CTF-writeups.git,already_cloned,0,skipped_stripped
mbiesiad/ctf-writeups,https://github.com/mbiesiad/ctf-writeups.git,already_cloned,0,skipped_stripped
mcieno/pwnable.tw,https://github.com/mcieno/pwnable.tw.git,already_cloned,0,skipped_stripped
minaminao/ctf-blockchain,https://github.com/minaminao/ctf-blockchain.git,already_cloned,0,skipped_stripped
merrychap/ctf-writeups,https://github.com/merrychap/ctf-writeups.git,already_cloned,0,skipped_stripped
momenbasel/htb-writeups,https://github.com/momenbasel/htb-writeups.git,already_cloned,0,skipped_stripped
nautilus-institute/finals-2025,https://github.com/nautilus-institute/finals-2025.git,already_cloned,0,skipped_stripped
Nambers/ctf-writeups,https://github.com/Nambers/ctf-writeups.git,already_cloned,0,skipped_stripped
neutrinoguy/awesome-ics-writeups,https://github.com/neutrinoguy/awesome-ics-writeups.git,already_cloned,0,skipped_stripped
nh4ttruong/ctf-write-up,https://github.com/nh4ttruong/ctf-write-up.git,already_cloned,0,skipped_stripped
noamgariani11/picoCTF-2024-Writeup,https://github.com/noamgariani11/picoCTF-2024-Writeup.git,already_cloned,0,skipped_stripped
OJ/gobuster,https://github.com/OJ/gobuster.git,already_cloned,0,skipped_stripped
ory/defcon-30-ctf,https://github.com/ory/defcon-30-ctf.git,already_cloned,0,skipped_stripped
osirislab/CSAW-CTF-2022-Final-WriteUps,https://github.com/osirislab/CSAW-CTF-2022-Final-WriteUps.git,already_cloned,0,skipped_stripped
orangetw/My-CTF-Web-Challenges,https://github.com/orangetw/My-CTF-Web-Challenges.git,ok,22,
osirislab/CSAW-CTF-2024-Quals,https://github.com/osirislab/CSAW-CTF-2024-Quals.git,ok,25,
Nautilus-Institute/quals-2024,https://github.com/Nautilus-Institute/quals-2024.git,ok,40,
phith0n/realworldctf,https://github.com/phith0n/realworldctf.git,ok,2,
osirislab/CSAW-CTF-2023-Quals,https://github.com/osirislab/CSAW-CTF-2023-Quals.git,ok,43,
HackTricks-wiki/hacktricks,https://github.com/HackTricks-wiki/hacktricks.git,ok,47,
osirislab/CSAW-CTF-2025-Finals-Public,https://github.com/osirislab/CSAW-CTF-2025-Finals-Public.git,ok,24,
PumpkingWok/CTFGym,https://github.com/PumpkingWok/CTFGym.git,ok,2,
projectdiscovery/nuclei,https://github.com/projectdiscovery/nuclei.git,ok,5,
pwncollege/linux-luminarium,https://github.com/pwncollege/linux-luminarium.git,ok,1,
pwncollege/challenges,https://github.com/pwncollege/challenges.git,ok,5,
project-sekai-ctf/sekaictf-2025,https://github.com/project-sekai-ctf/sekaictf-2025.git,ok,14,
pwndbg/pwndbg,https://github.com/pwndbg/pwndbg.git,ok,8,
pxb1988/dex2jar,https://github.com/pxb1988/dex2jar.git,ok,3,
lieanu/LibcSearcher,https://github.com/lieanu/LibcSearcher.git,ok,64,
ReFirmLabs/binwalk,https://github.com/ReFirmLabs/binwalk.git,ok,3,
